timestamp,episode,reward,entropy,loss,steps,deaths,p1_lives,p2_lives,p1_wins,p2_wins,r_damage_dealt,r_damage_taken,r_time_penalty,r_offstage_penalty,r_suicide_penalty,r_death_penalty,r_kill_reward,count_neutral,count_move_left,count_move_right,count_jump,count_light,count_heavy,count_dodge,count_left_heavy,count_right_heavy,count_left_light,count_right_light,prob_neutral,prob_move_left,prob_move_right,prob_jump,prob_light,prob_heavy,prob_dodge,prob_left_heavy,prob_right_heavy,prob_left_light,prob_right_light
2026-04-08 13:17:21,1,136.88,0.000000,0.000000,181,15,0,14,0,1,67.70,-37.82,0.00,-18.00,-150.00,-45.00,80.00,9,9,14,11,26,10,8,22,20,37,15,0.0490,0.0622,0.0688,0.0788,0.1626,0.0700,0.0604,0.1168,0.0933,0.1488,0.0894
2026-04-08 13:21:22,2,-190.38,0.000000,0.000000,157,16,0,14,0,2,19.35,-37.92,0.00,-16.80,-150.00,-45.00,10.00,10,7,8,14,22,11,15,19,12,21,18,0.0468,0.0585,0.0691,0.0763,0.1775,0.0676,0.0574,0.1120,0.0919,0.1510,0.0919
2026-04-08 13:24:30,3,-182.92,0.000000,0.000000,102,15,0,14,0,3,25.10,-38.02,0.00,-15.00,-150.00,-45.00,10.00,1,5,7,6,17,10,6,11,12,15,12,0.0484,0.0601,0.0694,0.0776,0.1695,0.0687,0.0586,0.1130,0.0929,0.1510,0.0909
2026-04-08 13:28:28,4,-225.15,2.303479,376.229187,165,15,0,15,0,4,30.00,-38.55,0.00,-21.60,-150.00,-45.00,0.00,11,13,14,6,45,10,7,11,8,27,13,0.0479,0.0607,0.0687,0.0777,0.1679,0.0684,0.0594,0.1159,0.0932,0.1507,0.0895
2026-04-08 13:32:01,5,-212.30,2.303479,376.229187,135,15,0,15,0,5,41.80,-37.50,0.00,-21.60,-150.00,-45.00,0.00,9,12,9,11,22,7,8,15,10,18,14,0.0506,0.0653,0.0680,0.0793,0.1650,0.0668,0.0589,0.1162,0.0927,0.1458,0.0915
2026-04-08 13:36:46,6,-111.45,2.303479,376.229187,193,16,0,14,0,6,60.45,-37.70,0.00,-19.20,-150.00,-45.00,20.00,4,4,11,13,38,12,17,24,15,30,25,0.0517,0.0659,0.0685,0.0791,0.1606,0.0676,0.0601,0.1159,0.0939,0.1461,0.0906
2026-04-08 13:41:04,7,-124.10,2.303479,376.229187,171,16,0,14,0,7,54.20,-38.10,0.00,-25.20,-150.00,-45.00,20.00,7,14,7,13,20,10,21,22,22,18,17,0.0452,0.0566,0.0679,0.0745,0.1864,0.0664,0.0557,0.1120,0.0909,0.1523,0.0919
2026-04-08 13:44:53,8,-117.85,2.302778,305.491150,152,15,0,14,0,8,55.65,-37.50,0.00,-21.00,-150.00,-45.00,20.00,8,11,9,13,21,16,11,15,14,20,14,0.0476,0.0612,0.0670,0.0765,0.1767,0.0627,0.0552,0.1136,0.0937,0.1532,0.0926
2026-04-08 13:48:10,9,-233.47,2.302778,305.491150,114,15,0,15,0,9,17.35,-37.83,0.00,-18.00,-150.00,-45.00,0.00,5,2,9,5,22,10,6,10,8,21,16,0.0454,0.0574,0.0676,0.0745,0.1831,0.0667,0.0570,0.1142,0.0912,0.1520,0.0909
2026-04-08 13:51:14,10,-216.05,2.302778,305.491150,107,15,0,15,0,10,38.05,-37.50,0.00,-21.60,-150.00,-45.00,0.00,7,4,10,8,20,4,7,14,8,15,10,0.0501,0.0642,0.0675,0.0776,0.1654,0.0659,0.0587,0.1169,0.0943,0.1493,0.0899
