timestamp,episode,deaths,reward,steps,p1_lives,p2_lives,p1_wins,p2_wins,entropy
2026-04-02 10:12:53,1,20,-1466.50,323,0,20,0,1,1.9433
2026-04-02 10:19:06,2,20,-1296.50,507,0,20,0,2,1.9310
2026-04-02 10:24:30,3,20,-1301.00,430,0,20,0,3,1.8959
2026-04-02 10:30:00,4,20,-1119.00,457,0,20,0,4,1.8173
2026-04-02 10:37:58,5,20,-1159.50,810,0,18,0,5,1.7036
2026-04-02 10:47:08,6,21,-1144.00,1049,0,19,0,6,1.6304
2026-04-02 10:56:36,7,20,-1496.00,1135,0,20,0,7,1.5630
2026-04-02 11:08:59,8,21,-1091.00,1533,0,19,0,8,1.4614
2026-04-02 11:24:21,9,21,-1247.50,2010,0,19,0,9,1.4252
2026-04-02 11:42:15,10,21,-1059.50,2302,0,19,0,10,1.4028
2026-04-02 11:57:25,11,21,-1012.00,1997,0,19,0,11,1.4231
2026-04-02 12:16:53,12,22,-1250.00,2517,0,18,0,12,1.4243
2026-04-02 12:31:59,13,21,-1373.00,2011,0,19,0,13,1.1128
2026-04-02 12:48:38,14,20,-1857.00,2395,0,20,0,14,0.9548
2026-04-02 13:06:16,15,20,-2194.50,2567,0,20,0,15,0.8372
2026-04-02 13:22:21,16,21,-3630.50,2438,0,19,0,16,0.8748
2026-04-02 13:44:32,17,20,-3431.00,3107,0,20,0,17,0.7923
2026-04-02 14:04:24,18,20,-3789.50,2737,0,20,0,18,0.8000
2026-04-02 14:29:21,19,20,-3488.00,3656,0,20,0,19,0.7933
2026-04-02 14:45:22,20,20,-3127.00,2385,0,20,0,20,0.8123
2026-04-02 15:07:45,21,20,-7579.50,2982,0,19,0,21,0.3790
2026-04-02 15:29:38,22,21,-56803.00,2569,0,18,0,22,0.1018
2026-04-02 15:54:50,23,20,-74553.50,2952,0,20,0,23,0.0221
2026-04-02 16:17:01,24,21,-64875.00,2543,0,19,0,24,0.0038
2026-04-02 16:47:55,25,20,-92320.00,3633,0,20,0,25,0.0005
2026-04-02 17:21:37,26,20,-101148.50,3992,0,20,0,26,0.0001
