timestamp,episode,deaths,reward,steps,p1_lives,p2_lives,p1_wins,p2_wins,entropy,count_neutral,count_move_left,count_move_right,count_jump,count_light,count_heavy,count_dodge,count_left_heavy,count_right_heavy,count_left_light,count_right_light,prob_neutral,prob_move_left,prob_move_right,prob_jump,prob_light,prob_heavy,prob_dodge,prob_left_heavy,prob_right_heavy,prob_left_light,prob_right_light
2026-04-07 11:01:51,1,5,-5.48,39,0,5,0,1,0.0000,4,6,1,3,2,3,8,3,5,0,4,0.0945,0.0914,0.0904,0.0853,0.0946,0.0894,0.0906,0.0933,0.0886,0.0873,0.0948
2026-04-07 11:03:01,2,5,-13.68,36,0,5,0,2,0.0000,6,8,2,2,5,3,2,1,3,2,2,0.0945,0.0914,0.0904,0.0852,0.0946,0.0894,0.0908,0.0933,0.0885,0.0873,0.0948
2026-04-07 11:04:25,3,5,-8.44,48,0,5,0,3,0.0000,4,5,6,3,5,6,5,5,2,5,2,0.0943,0.0914,0.0905,0.0854,0.0947,0.0895,0.0904,0.0933,0.0886,0.0872,0.0947
2026-04-07 11:05:52,4,5,-9.65,44,0,5,0,4,0.0000,2,4,4,4,2,3,5,5,3,5,7,0.0944,0.0915,0.0904,0.0852,0.0946,0.0894,0.0906,0.0932,0.0885,0.0873,0.0948
2026-04-07 11:07:17,5,5,-1.97,44,0,5,0,5,0.0000,1,4,4,3,5,5,4,6,5,3,4,0.0945,0.0914,0.0905,0.0854,0.0946,0.0894,0.0905,0.0932,0.0886,0.0872,0.0947
2026-04-07 11:08:34,6,5,-7.05,39,0,5,0,6,0.0000,6,3,3,2,2,3,4,4,5,1,6,0.0944,0.0913,0.0904,0.0856,0.0945,0.0893,0.0905,0.0934,0.0886,0.0872,0.0947
2026-04-07 11:10:00,7,5,-13.16,44,0,5,0,7,0.0000,2,4,6,5,1,2,4,4,5,5,6,0.0945,0.0916,0.0904,0.0851,0.0946,0.0894,0.0907,0.0931,0.0885,0.0873,0.0947
2026-04-07 11:11:43,8,5,4.45,61,0,5,0,8,2.3905,7,7,3,3,8,4,4,4,7,7,7,0.0944,0.0914,0.0904,0.0855,0.0946,0.0894,0.0904,0.0934,0.0885,0.0873,0.0947
2026-04-07 11:13:18,9,5,-0.25,55,0,5,0,9,2.3905,6,4,7,3,5,1,6,8,6,9,0,0.1062,0.0787,0.0681,0.0849,0.0926,0.0939,0.0883,0.1133,0.0913,0.0906,0.0920
2026-04-07 11:14:54,10,5,-5.83,60,0,5,0,10,2.3905,7,1,3,7,8,9,3,5,8,4,5,0.1063,0.0782,0.0678,0.0845,0.0921,0.0943,0.0883,0.1141,0.0919,0.0903,0.0923
2026-04-07 11:16:13,11,5,-13.10,37,0,5,0,11,2.3905,3,5,0,5,3,2,0,10,2,2,5,0.1065,0.0782,0.0673,0.0843,0.0924,0.0944,0.0882,0.1143,0.0918,0.0901,0.0925
2026-04-07 11:17:25,12,5,-12.12,33,0,5,0,12,2.3905,2,1,0,2,2,6,6,3,5,3,3,0.1064,0.0783,0.0673,0.0844,0.0923,0.0944,0.0882,0.1143,0.0919,0.0902,0.0924
2026-04-07 11:18:56,13,5,6.05,46,0,5,0,13,2.3905,3,3,6,1,1,3,4,5,9,5,6,0.1065,0.0781,0.0676,0.0846,0.0921,0.0943,0.0883,0.1140,0.0919,0.0903,0.0923
2026-04-07 11:20:25,14,5,-6.34,51,0,5,0,14,2.3905,4,4,5,5,4,5,5,8,3,1,7,0.1057,0.0791,0.0686,0.0845,0.0930,0.0938,0.0886,0.1125,0.0919,0.0900,0.0923
2026-04-07 11:21:46,15,5,-1.90,43,0,5,0,15,2.3905,3,2,4,7,5,3,5,9,2,2,1,0.1062,0.0783,0.0674,0.0846,0.0923,0.0943,0.0881,0.1141,0.0920,0.0903,0.0924
2026-04-07 11:23:17,16,5,-1.55,57,0,5,0,16,2.3795,9,6,3,6,7,4,4,1,6,6,5,0.1062,0.0785,0.0679,0.0847,0.0924,0.0942,0.0884,0.1134,0.0919,0.0903,0.0921
2026-04-07 11:24:41,17,5,-11.73,46,0,5,0,17,2.3795,6,1,3,5,6,4,2,8,5,2,4,0.1255,0.0676,0.0905,0.0671,0.0888,0.0912,0.0860,0.1213,0.1010,0.0854,0.0756
2026-04-07 11:25:47,18,5,-10.94,28,0,5,0,18,2.3795,3,4,3,2,3,1,1,6,1,1,3,0.1244,0.0685,0.0907,0.0678,0.0896,0.0909,0.0868,0.1192,0.1007,0.0854,0.0761
2026-04-07 11:27:19,19,5,-3.49,48,0,5,0,19,2.3795,3,2,3,3,3,7,2,11,5,6,3,0.1262,0.0669,0.0909,0.0666,0.0884,0.0912,0.0858,0.1223,0.1012,0.0852,0.0752
2026-04-07 11:28:46,20,5,-12.91,51,0,5,0,20,2.3795,6,4,6,6,4,5,1,6,7,3,3,0.1264,0.0670,0.0905,0.0665,0.0885,0.0912,0.0858,0.1224,0.1012,0.0852,0.0752
