timestamp,episode,reward,entropy,loss,steps,deaths,p1_lives,p2_lives,p1_wins,p2_wins,count_neutral,count_move_left,count_move_right,count_jump,count_light,count_heavy,count_dodge,count_left_heavy,count_right_heavy,count_left_light,count_right_light,prob_neutral,prob_move_left,prob_move_right,prob_jump,prob_light,prob_heavy,prob_dodge,prob_left_heavy,prob_right_heavy,prob_left_light,prob_right_light
2026-04-08 10:04:03,1,-1825.80,0.000000,0.000000,155,15,0,15,0,1,15,12,9,11,23,15,17,10,9,17,17,0.1042,0.0985,0.0786,0.1061,0.1063,0.0863,0.0950,0.0806,0.0832,0.0749,0.0863
2026-04-08 10:08:15,2,-1889.80,0.000000,0.000000,197,15,0,14,0,2,26,18,15,24,17,17,23,12,11,19,15,0.1039,0.0994,0.0791,0.1047,0.1053,0.0874,0.0956,0.0826,0.0833,0.0730,0.0857
2026-04-08 10:12:11,3,-1883.70,0.000000,0.000000,170,15,0,15,0,3,16,22,14,21,13,17,13,13,22,6,13,0.1044,0.1009,0.0777,0.1067,0.1062,0.0858,0.0935,0.0808,0.0820,0.0747,0.0874
2026-04-08 10:15:54,4,-1620.70,2.386938,18026.730469,148,16,0,14,0,4,11,18,16,12,12,13,17,11,16,10,12,0.1081,0.1016,0.0762,0.1068,0.1064,0.0857,0.0993,0.0832,0.0814,0.0686,0.0826
2026-04-08 10:20:36,5,-1414.80,2.386938,18026.730469,208,16,0,14,0,5,17,21,15,19,25,17,19,20,19,15,21,0.1068,0.1015,0.0782,0.1057,0.1054,0.0859,0.0932,0.0812,0.0816,0.0738,0.0867
2026-04-08 10:24:42,6,-1476.50,2.386938,18026.730469,182,16,0,14,0,6,21,14,13,22,20,18,18,20,15,9,12,0.1089,0.1010,0.0766,0.1063,0.1060,0.0855,0.0961,0.0820,0.0815,0.0712,0.0849
2026-04-08 10:29:46,7,-1324.80,2.386938,18026.730469,255,15,0,15,0,7,30,31,24,26,29,18,27,26,14,12,18,0.1027,0.0984,0.0804,0.1038,0.1046,0.0881,0.0943,0.0818,0.0831,0.0752,0.0876
2026-04-08 10:33:12,8,-1906.60,2.387293,11484.382812,142,15,0,14,0,8,19,18,15,13,14,6,13,8,8,10,18,0.1107,0.1016,0.0763,0.1064,0.1070,0.0855,0.0965,0.0822,0.0810,0.0700,0.0831
2026-04-08 10:36:49,9,-1976.40,2.387293,11484.382812,155,15,0,15,0,9,19,21,13,20,16,8,11,14,9,10,14,0.1069,0.0994,0.0792,0.1039,0.1055,0.0874,0.0942,0.0831,0.0835,0.0728,0.0841
2026-04-08 10:41:31,10,-1166.70,2.387293,11484.382812,224,15,0,15,0,10,34,17,20,25,12,21,18,20,18,16,23,0.1051,0.0981,0.0812,0.1040,0.1047,0.0885,0.0946,0.0811,0.0828,0.0745,0.0852
2026-04-08 10:45:09,11,-1657.90,2.387293,11484.382812,154,15,0,14,0,11,17,17,13,12,20,15,11,9,15,17,8,0.1070,0.0993,0.0817,0.1052,0.1052,0.0874,0.0922,0.0792,0.0830,0.0753,0.0844
2026-04-08 10:48:57,12,-1641.80,2.386311,15428.251953,164,15,0,15,0,12,13,18,11,27,18,16,14,10,9,12,16,0.1067,0.1005,0.0818,0.1066,0.1041,0.0883,0.0909,0.0789,0.0826,0.0751,0.0844
2026-04-08 10:54:14,13,-1483.80,2.386311,15428.251953,245,17,0,13,0,13,25,18,24,22,26,22,22,25,16,19,26,0.1131,0.1028,0.0757,0.1064,0.1058,0.0846,0.0941,0.0815,0.0799,0.0710,0.0851
2026-04-08 10:58:18,14,-1782.70,2.386311,15428.251953,174,16,0,14,0,14,17,15,11,24,18,13,16,14,14,16,16,0.1160,0.1034,0.0772,0.1082,0.1065,0.0859,0.0932,0.0803,0.0796,0.0696,0.0802
2026-04-08 11:02:41,15,-1621.20,2.386311,15428.251953,200,15,0,15,0,15,20,23,17,22,18,15,20,17,23,9,16,0.1085,0.0989,0.0803,0.1046,0.1043,0.0873,0.0950,0.0817,0.0825,0.0731,0.0839
2026-04-08 11:06:12,16,-1792.00,2.385918,14510.156250,144,15,0,14,0,16,11,17,10,10,23,12,16,15,9,8,13,0.1116,0.1006,0.0778,0.1055,0.1053,0.0854,0.0962,0.0819,0.0813,0.0709,0.0834
2026-04-08 11:10:16,17,-1795.00,2.385918,14510.156250,184,15,0,15,0,17,26,17,18,20,17,11,16,18,11,18,12,0.1076,0.0993,0.0820,0.1044,0.1050,0.0877,0.0905,0.0796,0.0832,0.0758,0.0849
2026-04-08 11:14:31,18,-1719.10,2.385918,14510.156250,195,16,0,14,0,18,27,20,14,20,12,20,23,14,16,12,17,0.1108,0.1007,0.0780,0.1049,0.1056,0.0860,0.0936,0.0820,0.0818,0.0723,0.0843
2026-04-08 11:18:17,19,-1364.90,2.385918,14510.156250,168,15,0,15,0,19,26,17,13,18,15,16,9,6,17,8,23,0.1093,0.0997,0.0824,0.1064,0.1045,0.0886,0.0917,0.0784,0.0823,0.0744,0.0824
2026-04-08 11:23:10,20,-1722.70,2.385695,12277.258789,236,16,0,14,0,20,27,27,14,26,20,34,20,18,18,14,18,0.1171,0.1027,0.0758,0.1070,0.1068,0.0840,0.0973,0.0814,0.0789,0.0680,0.0810
