timestamp,episode,deaths,reward,steps,p1_lives,p2_lives,p1_wins,p2_wins,entropy,count_neutral,count_move_left,count_move_right,count_jump,count_light,count_heavy,count_dodge,prob_neutral,prob_move_left,prob_move_right,prob_jump,prob_light,prob_heavy,prob_dodge
2026-04-05 17:12:05,1,5,-176.57,140,0,5,0,1,1.9396,27,14,20,24,19,19,17,0.1474,0.1385,0.1395,0.1383,0.1493,0.1417,0.1452
2026-04-05 17:13:24,2,5,-315.38,74,0,5,0,2,1.9020,9,7,8,11,10,18,11,0.1159,0.1329,0.1156,0.1275,0.1873,0.1415,0.1792
2026-04-05 17:15:53,3,5,-97.17,194,0,5,0,3,1.7855,17,27,14,20,39,27,50,0.0782,0.1303,0.0815,0.1059,0.1925,0.1430,0.2686
2026-04-05 17:18:03,4,5,102.49,170,0,5,0,4,1.7496,9,13,10,26,42,27,43,0.0492,0.0909,0.0582,0.1236,0.2546,0.1432,0.2802
2026-04-05 17:19:37,5,5,-488.16,108,0,5,0,5,1.7235,3,5,2,18,34,24,22,0.0476,0.0835,0.0537,0.1630,0.2997,0.1523,0.2002
2026-04-05 17:21:21,6,5,-401.57,120,0,5,0,6,1.6243,1,5,8,27,38,23,18,0.0397,0.0694,0.0433,0.2063,0.3340,0.1594,0.1478
2026-04-05 17:23:17,7,5,-394.52,148,0,5,0,7,1.4710,4,6,5,41,60,25,7,0.0240,0.0450,0.0257,0.2795,0.3824,0.1518,0.0917
2026-04-05 17:25:21,8,5,-293.44,170,0,5,0,8,1.2982,3,5,3,61,60,30,8,0.0179,0.0329,0.0176,0.3514,0.3717,0.1498,0.0586
2026-04-05 17:29:29,9,6,210.10,406,0,4,0,9,1.1700,3,7,3,142,196,48,7,0.0102,0.0156,0.0093,0.3426,0.4590,0.1361,0.0272
2026-04-05 17:31:04,10,5,-307.14,107,0,5,0,10,1.0534,1,5,4,15,62,17,3,0.0090,0.0116,0.0079,0.1703,0.6172,0.1662,0.0177
2026-04-05 17:32:50,11,5,-29.51,134,0,5,0,11,1.1025,1,2,1,18,78,33,1,0.0083,0.0095,0.0075,0.1118,0.6040,0.2453,0.0136
2026-04-05 17:35:48,12,6,63.18,273,0,4,0,12,1.1246,4,2,1,21,137,108,0,0.0083,0.0089,0.0074,0.0972,0.4962,0.3691,0.0130
2026-04-05 17:38:44,13,5,123.00,274,0,5,0,13,1.1265,1,2,4,31,104,130,2,0.0100,0.0104,0.0076,0.1053,0.3865,0.4625,0.0176
2026-04-05 17:42:04,14,5,-11.14,320,0,5,0,14,1.1599,4,3,3,40,111,151,8,0.0119,0.0119,0.0080,0.1158,0.3228,0.5082,0.0214
2026-04-05 17:48:22,15,7,550.91,658,0,3,0,15,1.2357,10,10,4,78,190,355,11,0.0129,0.0122,0.0081,0.1198,0.3030,0.5218,0.0220
2026-04-05 17:53:07,16,7,604.23,471,0,3,0,16,1.3520,6,8,5,74,151,214,13,0.0187,0.0170,0.0096,0.1458,0.3036,0.4743,0.0310
2026-04-05 21:30:06,17,5,-24.86,117,0,4,0,17,0.0000,5,7,1,24,32,42,6,0.0291,0.0256,0.0131,0.1649,0.2923,0.4304,0.0446
2026-04-05 21:32:17,18,5,85.38,177,0,5,0,18,0.0000,7,7,4,22,49,77,11,0.0344,0.0305,0.0154,0.1696,0.2845,0.4133,0.0524
2026-04-05 21:34:06,19,5,-237.75,139,0,5,0,19,0.0000,4,5,0,21,45,59,5,0.0290,0.0255,0.0131,0.1648,0.2921,0.4309,0.0446
2026-04-05 21:36:05,20,5,-266.47,157,0,5,0,20,1.4127,8,4,2,31,42,65,5,0.0345,0.0306,0.0155,0.1705,0.2858,0.4108,0.0522
2026-04-05 21:39:17,21,5,143.18,302,0,5,0,21,1.4127,9,4,8,53,88,119,21,0.0328,0.0290,0.0146,0.1733,0.2939,0.4068,0.0496
2026-04-05 21:44:11,22,6,544.21,498,0,4,0,22,1.4127,12,8,7,75,168,209,19,0.0339,0.0298,0.0150,0.1738,0.2927,0.4039,0.0509
2026-04-05 21:46:43,23,5,321.40,225,0,5,0,23,1.4127,5,6,4,47,64,88,11,0.0350,0.0310,0.0156,0.1754,0.2914,0.3991,0.0524
2026-04-05 21:49:04,24,5,23.34,202,0,5,0,24,1.4557,4,4,2,37,57,94,4,0.0328,0.0290,0.0146,0.1734,0.2933,0.4072,0.0496
